facility_id,billing_date,customer_id,customer_name,contract_type,rack_count,power_allocation_kw,monthly_rate_usd,daily_revenue_usd,contract_start_date,contract_end_date,invoice_status,report_source
DAL-01,2026-05-10,f18d00b6-b1db-468c-990e-ef1a9a58f13f,"Mcfarland, Newman and Obrien",colocation,22,131.85,33658.82,1121.96,2026-02-23,2026-12-31,overdue,ERP_BILLING_EXPORT
DAL-01,2026-05-10,1b6da039-7d46-4cd6-b6b0-b84a008694ff,Turner-Watson,wholesale,10,39.74,13592.61,453.09,2023-06-14,2027-10-17,overdue,ERP_BILLING_EXPORT
DAL-01,2026-05-10,2d8b33d0-e7b4-412b-975b-271e6f9a75c4,Ortiz-Koch,colocation,21,149.48,50416.01,1680.53,2025-05-14,2027-07-28,overdue,ERP_BILLING_EXPORT
DAL-01,2026-05-10,7d1d038d-c280-4860-8d9f-eacd776e7dfc,Blake-Walls,wholesale,39,164.41,74119.82,2470.66,2026-01-31,2026-10-12,overdue,ERP_BILLING_EXPORT
DAL-01,2026-05-10,8e54ee0a-a0c2-4867-acbb-6806073c53fd,Mendez-Mckay,cloud,12,26.46,26554.32,885.14,2023-11-05,2027-09-11,paid,ERP_BILLING_EXPORT
DAL-01,2026-05-10,eda14540-f534-4664-9970-dfe3bb993f1e,Mendez-Mckay,colocation,41,197.56,49119.37,1637.31,2023-05-21,2027-08-08,pending,ERP_BILLING_EXPORT
DAL-01,2026-05-10,f5c9913d-09c0-4046-9a66-3d92e93febfb,"Weber, Dean and Salazar",colocation,8,51.11,11786.07,392.87,2024-03-07,2026-07-17,paid,ERP_BILLING_EXPORT
DAL-01,2026-05-10,11366994-3c71-4da0-960b-388c64e16638,Hill PLC,colocation,13,118.19,21797.73,726.59,2024-07-20,2028-09-26,overdue,ERP_BILLING_EXPORT
DAL-01,2026-05-10,f3b66981-38ba-47a0-bc7a-6ec6fa85d9d1,Kaufman-Kelley,wholesale,28,235.64,23150.68,771.69,2025-08-04,2027-12-28,paid,ERP_BILLING_EXPORT
DAL-01,2026-05-10,3f0d0e2e-815c-45f8-a6cd-c598791d59c7,"Maxwell, Harris and Brown",wholesale,5,47.83,8660.16,288.67,2023-12-16,2027-09-01,pending,ERP_BILLING_EXPORT
