facility_id,report_timestamp,report_hour,total_rack_units,occupied_rack_units,server_utilization_pct,rack_type,cooling_temp_celsius,cooling_efficiency_pue,active_servers,failed_servers,maintenance_servers,network_throughput_gbps,network_utilization_pct,report_source
DAL-01,2026-05-05T00:00:00,0,1920,368,45.74,gpu_compute,19.8,1.481,764,1,0,13.52,39.07,DCIM_EXPORT
DAL-01,2026-05-05T01:00:00,1,1514,360,40.32,blade,23.8,1.47,351,2,8,87.84,67.03,DCIM_EXPORT
DAL-01,2026-05-05T02:00:00,2,910,562,40.55,networking,19.0,1.757,358,0,5,60.66,77.11,DCIM_EXPORT
DAL-01,2026-05-05T03:00:00,3,1472,569,57.91,storage_dense,24.1,1.776,793,5,1,37.19,58.56,DCIM_EXPORT
DAL-01,2026-05-05T04:00:00,4,863,752,56.3,blade,20.8,1.611,566,0,1,52.51,49.68,DCIM_EXPORT
DAL-01,2026-05-05T05:00:00,5,1189,448,45.84,storage_dense,23.4,1.446,660,5,8,60.81,65.77,DCIM_EXPORT
DAL-01,2026-05-05T06:00:00,6,1634,905,52.15,blade,18.5,1.218,652,0,6,92.77,72.01,DCIM_EXPORT
DAL-01,2026-05-05T07:00:00,7,1101,450,49.99,storage_dense,26.2,1.209,378,2,0,24.19,53.38,DCIM_EXPORT
DAL-01,2026-05-05T08:00:00,8,994,656,49.6,standard_1U,20.5,1.462,603,0,1,87.76,57.28,DCIM_EXPORT
DAL-01,2026-05-05T09:00:00,9,1859,929,67.73,gpu_compute,26.5,1.491,658,0,1,80.46,70.1,DCIM_EXPORT
DAL-01,2026-05-05T10:00:00,10,1990,1230,75.5,networking,23.4,1.537,268,4,0,10.4,46.59,DCIM_EXPORT
DAL-01,2026-05-05T11:00:00,11,1377,1061,71.18,storage_dense,26.9,1.398,620,2,8,11.93,58.7,DCIM_EXPORT
DAL-01,2026-05-05T12:00:00,12,894,1072,75.24,blade,23.6,1.339,498,0,6,40.81,58.42,DCIM_EXPORT
DAL-01,2026-05-05T13:00:00,13,1405,871,71.78,networking,24.3,1.321,611,2,9,59.84,48.8,DCIM_EXPORT
DAL-01,2026-05-05T14:00:00,14,1265,1040,68.59,standard_1U,21.7,1.267,442,3,2,94.27,82.91,DCIM_EXPORT
DAL-01,2026-05-05T15:00:00,15,1626,1007,79.76,gpu_compute,19.8,1.456,552,3,0,93.53,50.78,DCIM_EXPORT
DAL-01,2026-05-05T16:00:00,16,1627,1185,77.1,networking,19.3,1.766,688,4,3,94.77,42.22,DCIM_EXPORT
DAL-01,2026-05-05T17:00:00,17,1625,1297,70.15,blade,20.5,1.389,379,1,2,84.24,63.16,DCIM_EXPORT
DAL-01,2026-05-05T18:00:00,18,1119,1367,79.26,standard_1U,23.8,1.527,531,4,0,40.76,33.97,DCIM_EXPORT
DAL-01,2026-05-05T19:00:00,19,1688,370,40.47,standard_1U,20.8,1.382,227,2,9,73.32,42.97,DCIM_EXPORT
DAL-01,2026-05-05T20:00:00,20,1620,934,58.42,storage_dense,19.1,1.312,480,4,4,24.16,82.52,DCIM_EXPORT
DAL-01,2026-05-05T21:00:00,21,1617,529,58.1,standard_1U,26.1,1.49,204,5,9,59.81,58.74,DCIM_EXPORT
DAL-01,2026-05-05T22:00:00,22,1030,825,41.39,storage_dense,21.7,1.789,741,4,9,47.83,80.07,DCIM_EXPORT
DAL-01,2026-05-05T23:00:00,23,1178,642,41.88,networking,26.4,1.551,705,1,3,11.86,48.01,DCIM_EXPORT
DAL-02,2026-05-05T00:00:00,0,1322,758,40.59,standard_1U,22.0,1.733,771,2,7,65.67,45.74,DCIM_EXPORT
